
asinh, mutant_0, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 0,
asinh, mutant_1, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_2, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_3, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_4, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 1, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_5, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_6, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_7, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_8, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_9, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_10, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
