,0,1,2,3,4,5,6,7,8,9,10
0,np_atan2,2,1,1,1,1,500,500,454,451,191
1,np_asinh,2,1,1,1,1,500,499,263,120,20
2,np_atan2,2,1,1,1,2,500,498,323,323,125
3,np_asinh,2,1,1,1,2,500,452,90,89,37
4,np_tanh,2,1,1,1,2,500,500,197,197,33
5,np_cos,2,1,1,1,1,500,452,442,41,8
6,np_tanh,2,1,1,1,1,500,500,307,290,41
7,np_cos,2,1,1,1,2,500,479,455,451,30
8,np_sin,2,1,1,1,1,500,462,448,43,8
9,np_cosh,2,1,1,1,2,500,0,0,0,0
10,np_sin,2,1,1,1,2,500,476,420,416,27
11,np_cosh,2,1,1,1,1,500,0,0,0,0
12,np_tan,2,1,1,1,2,500,60,3,3,2
13,np_hypot,2,1,1,1,2,500,23,3,3,3
14,np_ceil,2,1,1,1,1,500,222,97,35,20
15,np_tan,2,1,1,1,1,500,43,7,6,4
16,np_hypot,2,1,1,1,1,500,416,57,57,46
17,np_ceil,2,1,1,1,2,500,72,7,7,6
18,np_log1p,2,1,1,1,2,500,487,86,86,23
19,np_asin,2,1,1,1,1,500,499,0,0,0
20,np_sqrt,2,1,1,1,1,500,485,102,74,10
21,np_abs,2,1,1,1,1,500,500,465,264,55
22,np_log1p,2,1,1,1,1,500,498,178,65,16
23,np_sqrt,2,1,1,1,2,500,479,37,37,18
24,np_asin,2,1,1,1,2,500,499,0,0,0
25,np_abs,2,1,1,1,2,500,293,151,151,39
26,np_atan,2,1,1,1,2,500,500,194,194,33
27,np_acosh,2,1,1,1,1,500,0,0,0,0
28,np_floor,2,1,1,1,1,500,208,106,39,20
29,np_acosh,2,1,1,1,2,500,0,0,0,0
30,np_atan,2,1,1,1,1,500,500,370,235,34
31,np_floor,2,1,1,1,2,500,87,11,10,7
32,np_log,2,1,1,1,1,500,498,105,71,10
33,np_log10,2,1,1,1,2,500,499,111,111,17
34,np_min,2,1,1,1,1,500,384,356,355,121
35,np_atanh,2,1,1,1,1,500,500,0,0,0
36,np_log,2,1,1,1,2,500,442,44,44,17
37,np_log10,2,1,1,1,1,500,500,147,80,10
38,np_min,2,1,1,1,2,500,178,97,97,48
39,np_atanh,2,1,1,1,2,500,500,0,0,0
40,np_max,2,1,1,1,1,500,439,396,396,121
41,np_round,2,1,1,1,1,500,225,120,40,20
42,np_acos,2,1,1,1,1,500,499,0,0,0
43,np_exp,2,1,1,1,2,500,0,0,0,0
44,np_sinh,2,1,1,1,2,500,0,0,0,0
45,np_max,2,1,1,1,2,500,49,15,15,13
46,np_round,2,1,1,1,2,500,82,9,9,5
47,np_acos,2,1,1,1,2,500,499,0,0,0
48,np_exp,2,1,1,1,1,500,337,206,183,12
49,np_sinh,2,1,1,1,1,500,0,0,0,0
50,np_abs,2,1,2,1,1,500,500,499,499,171
51,np_abs,2,1,3,1,1,500,500,500,500,184
52,np_abs,2,2,1,1,1,500,0,0,0,0
53,np_abs,2,2,2,1,1,500,500,472,469,150
54,np_abs,2,2,3,1,1,500,500,472,472,155
55,np_abs,2,3,1,1,1,500,0,0,0,0
56,np_abs,2,3,2,1,1,500,500,469,468,145
57,np_abs,2,3,3,1,1,500,500,466,465,152
58,np_abs,3,1,1,1,1,500,498,424,424,150
59,np_abs,3,1,1,1,2,500,120,48,48,44
60,np_acosh,2,1,2,1,1,500,304,0,0,0
61,np_acosh,2,1,3,1,1,500,308,0,0,0
62,np_acosh,2,2,1,1,1,500,0,0,0,0
63,np_acosh,2,2,2,1,1,500,313,0,0,0
64,np_acosh,2,2,3,1,1,500,300,0,0,0
65,np_acosh,2,3,1,1,1,500,0,0,0,0
