,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,21,2_1_2_1_1,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
1,21,2_1_3_1_1,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
2,21,2_1_1_1_3,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
3,21,2_1_1_1_2,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0
4,21,2_1_1_1_1,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0
5,21,2_3_2_1_1,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
6,21,2_2_1_1_1,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
7,21,2_3_3_1_1,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
8,21,2_2_2_1_1,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
9,21,2_3_1_1_1,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
10,21,3_1_1_1_1,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0
11,21,3_1_1_1_2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
12,21,2_2_3_1_1,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0
13,21,2_1_2_1_1,3.0,1.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
14,22,2_1_3_1_1,3.0,1.0,1.0,,,1.0,,,,,,
15,21,2_1_3_1_1,3.0,1.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
16,22,2_1_2_1_1,3.0,1.0,1.0,,,1.0,,,,,,
17,21,2_1_1_1_3,3.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8.0,8.0
18,21,2_1_1_1_2,3.0,2.0,1.0,,,1.0,0.0,0.0,0.0,0.0,8.0,8.0
19,21,2_1_1_1_1,3.0,2.0,1.0,,,1.0,0.0,0.0,0.0,0.0,5.0,5.0
20,22,2_1_1_1_1,3.0,1.0,0.0,,,0.0,,,,,,
21,22,2_1_1_1_3,3.0,1.0,0.0,,,0.0,,,,,,
22,22,2_1_1_1_2,3.0,1.0,0.0,,,0.0,,,,,,
23,22,2_3_3_1_1,3.0,1.0,1.0,,,1.0,,,,,,
24,21,2_3_2_1_1,3.0,1.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
25,21,2_2_1_1_1,3.0,2.0,1.0,,,1.0,0.0,0.0,0.0,0.0,6.0,6.0
26,22,2_2_1_1_1,3.0,2.0,0.0,,,0.0,,,,,,
27,22,2_3_2_1_1,3.0,1.0,1.0,,,1.0,,,,,,
28,21,2_3_3_1_1,3.0,1.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
29,22,2_2_3_1_1,3.0,1.0,1.0,,,1.0,,,,,,
30,21,2_2_2_1_1,3.0,2.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
31,22,3_1_1_1_2,3.0,1.0,0.0,,,0.0,,,,,,
32,21,2_3_1_1_1,3.0,2.0,1.0,,,1.0,0.0,0.0,0.0,0.0,6.0,6.0
33,22,3_1_1_1_1,3.0,1.0,0.0,,,0.0,,,,,,
34,21,3_1_1_1_1,3.0,2.0,1.0,,,1.0,0.0,0.0,0.0,0.0,9.0,9.0
35,22,2_3_1_1_1,3.0,1.0,0.0,,,0.0,,,,,,
36,21,3_1_1_1_2,3.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.0,9.0
37,22,2_2_2_1_1,3.0,1.0,1.0,,,1.0,,,,,,
38,21,2_2_3_1_1,3.0,1.0,1.0,,,1.0,3.0,3.0,10.0,10.0,10.0,10.0
