,0,1,2,3,5,5.1,6,7,8,9,10,11,12,13,14,15,cs_svd
0,4.0,2_2_2_1_1,350.0,47019.08,0.02,,,,0.0,,,,,0.0,,,
1,25.0,2_1_1_1_3,350.0,69587.18,,,,,,,,,,,,,
2,10.0,2_1_1_1_1,341.15,,,,,,,,,,,,,,
3,10.0,2_1_1_1_2,344.24,,,,,,,,,,,,,,
4,10.0,2_1_1_1_3,356.7,,,,,,,,,,,,,,
5,10.0,2_1_2_1_1,510.7,,,,,,,,,,,,,,
6,10.0,2_1_3_1_1,496.17,,,,,,,,,,,,,,
7,10.0,2_2_2_1_1,564.21,,,,,,,,,,,,,,
8,10.0,2_2_3_1_1,563.31,,,,,,,,,,,,,,
9,10.0,2_3_1_1_1,3.72,,,,,,,,,,,,,,
10,10.0,3_1_1_1_2,573.36,,,,,,,,,,,,,,
11,11.0,2_1_3_1_1,493.36,,,,,,,,,,,,,,
12,11.0,2_2_1_1_1,0.02,,,,,,,,,,,,,,
13,11.0,2_2_2_1_1,561.63,,,,,,,,,,,,,,
14,11.0,2_2_3_1_1,566.0,,,,,,,,,,,,,,
15,11.0,2_3_1_1_1,0.02,,,,,,,,,,,,,,
16,11.0,2_3_2_1_1,564.86,,,,,,,,,,,,,,
17,11.0,2_3_3_1_1,559.73,,,,,,,,,,,,,,
18,11.0,3_1_1_1_1,215.06,,,,,,,,,,,,,,
19,11.0,3_1_1_1_2,61.74,,,,,,,,,,,,,,
20,12.0,2_1_2_1_1,496.04,,,,,,,,,,,,,,
21,12.0,2_2_1_1_1,576.86,,,,,,,,,,,,,,
22,12.0,2_2_2_1_1,564.78,,,,,,,,,,,,,,
23,12.0,2_2_3_1_1,568.38,,,,,,,,,,,,,,
24,12.0,2_3_1_1_1,572.81,,,,,,,,,,,,,,
25,12.0,2_3_2_1_1,587.66,,,,,,,,,,,,,,
26,12.0,2_3_3_1_1,566.96,,,,,,,,,,,,,,
27,12.0,3_1_1_1_1,563.49,,,,,,,,,,,,,,
28,12.0,3_1_1_1_2,737.9,,,,,,,,,,,,,,
29,13.0,2_1_1_1_1,190.6,,,,,,,,,,,,,,
30,13.0,2_1_1_1_2,48.19,,,,,,,,,,,,,,
31,13.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
32,13.0,2_1_2_1_1,494.36,,,,,,,,,,,,,,
33,13.0,2_1_3_1_1,494.93,,,,,,,,,,,,,,
34,13.0,2_2_3_1_1,568.86,,,,,,,,,,,,,,
35,13.0,3_1_1_1_1,38.41,,,,,,,,,,,,,,
36,13.0,3_1_1_1_2,0.02,,,,,,,,,,,,,,
37,14.0,2_1_1_1_1,39.05,,,,,,,,,,,,,,
38,14.0,2_1_1_1_2,0.02,,,,,,,,,,,,,,
39,14.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
40,14.0,2_1_2_1_1,573.72,,,,,,,,,,,,,,
41,14.0,2_1_3_1_1,570.82,,,,,,,,,,,,,,
42,14.0,2_2_2_1_1,626.06,,,,,,,,,,,,,,
43,14.0,2_2_3_1_1,629.39,,,,,,,,,,,,,,
44,14.0,2_3_1_1_1,14.25,,,,,,,,,,,,,,
45,14.0,3_1_1_1_2,0.02,,,,,,,,,,,,,,
46,15.0,2_1_3_1_1,490.14,,,,,,,,,,,,,,
47,15.0,2_2_1_1_1,79.65,,,,,,,,,,,,,,
