,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,np_log1p,2.0,2.0,2.0,1.0,1.0,500.0,500.0,170.0,83.0,,,,,,
1,np_log1p,2.0,3.0,1.0,1.0,1.0,500.0,382.0,0.0,,,,,,,
2,np_log1p,3.0,1.0,1.0,1.0,1.0,500.0,500.0,61.0,,,,,,,
3,np_log1p,3.0,1.0,1.0,1.0,2.0,500.0,477.0,28.0,,,,,,,
4,np_log1p,2.0,2.0,3.0,1.0,1.0,500.0,500.0,176.0,,,,,,,
5,np_log1p,2.0,3.0,2.0,1.0,1.0,500.0,500.0,124.0,,,,,,,
6,np_log1p,2.0,2.0,1.0,1.0,1.0,500.0,383.0,0.0,,,,,,,
7,np_log1p,2.0,3.0,3.0,1.0,1.0,500.0,500.0,120.0,51.0,,,,,,
8,np_log1p,2.0,1.0,1.0,1.0,2.0,500.0,487.0,82.0,23.0,27.0,,,,,
9,np_log1p,2.0,1.0,1.0,1.0,3.0,500.0,297.0,38.0,,,,,,,
10,np_log1p,2.0,1.0,1.0,1.0,1.0,500.0,498.0,175.0,,11.0,,,,,
11,np_log1p,2.0,1.0,2.0,1.0,1.0,500.0,500.0,158.0,86.0,,,,,,
12,np_log1p,2.0,1.0,3.0,1.0,1.0,500.0,500.0,162.0,,,,,,,
13,np_log1p,2_1_1_1_2,,,,,,,,,,17.0,17.0,17.0,17.0,17.0
14,np_log1p,2_1_1_1_1,,,,,,,,,,8.0,8.0,8.0,8.0,8.0
19,np_log1p,x_1_1_x_x,,,,,,,,,,,,18.0,,18.0
20,np_log1p,x_1_1_x_x,,,,,,,,,,,,,18.0,18.0
